Collision year,Vehicle type,Age 16 to 19,Age 20 to 29,Age 30 to 39,Age 40 and over,Total
1979,Motorcycle riders,56,71,75,70,64
1979,Cars and other motor vehicles,58,71,84,60,68
1980,Motorcycle riders,54,70,65,44,61
1980,Cars and other motor vehicles,51,73,72,65,67
1981,Motorcycle riders,41,70,89,63,59
1981,Cars and other motor vehicles,53,68,71,53,63
1982,Motorcycle riders,48,73,68,41,62
1982,Cars and other motor vehicles,56,78,83,57,71
1983,Motorcycle riders,37,53,78,24,47
1983,Cars and other motor vehicles,63,72,73,48,66
1984,Motorcycle riders,54,61,56,60,58
1984,Cars and other motor vehicles,40,71,62,46,58
1985,Motorcycle riders,42,54,63,27,49
1985,Cars and other motor vehicles,55,69,66,45,61
1986,Motorcycle riders,39,56,68,38,50
1986,Cars and other motor vehicles,38,71,66,40,57
1987,Motorcycle riders,44,54,45,45,50
1987,Cars and other motor vehicles,36,62,60,42,53
1988,Motorcycle riders,31,66,70,31,55
1988,Cars and other motor vehicles,32,65,63,32,52
1989,Motorcycle riders,31,54,45,47,48
1989,Cars and other motor vehicles,28,58,69,30,49
1990,Motorcycle riders,37,54,50,25,48
1990,Cars and other motor vehicles,38,50,63,30,45
1991,Motorcycle riders,36,37,52,36,40
1991,Cars and other motor vehicles,29,55,56,35,46
1992,Motorcycle riders,21,51,59,41,47
1992,Cars and other motor vehicles,34,54,40,26,40
1993,Motorcycle riders,36,33,39,27,34
1993,Cars and other motor vehicles,47,57,55,30,47
1994,Motorcycle riders,29,31,48,53,37
1994,Cars and other motor vehicles,36,55,52,25,42
1995,Motorcycle riders,18,35,32,26,30
1995,Cars and other motor vehicles,45,51,49,31,43
1996,Motorcycle riders,29,29,34,20,29
1996,Cars and other motor vehicles,36,60,57,23,44
1997,Motorcycle riders,20,33,33,21,30
1997,Cars and other motor vehicles,52,43,56,29,42
1998,Motorcycle riders,33,20,43,21,31
1998,Cars and other motor vehicles,37,44,56,24,38
1999,Motorcycle riders,39,19,25,6,21
1999,Cars and other motor vehicles,39,50,63,17,40
2000,Motorcycle riders,31,21,25,15,23
2000,Cars and other motor vehicles,39,56,61,29,46
2001,Motorcycle riders,27,27,25,3,21
2001,Cars and other motor vehicles,38,52,51,32,43
2002,Motorcycle riders,50,29,23,5,23
2002,Cars and other motor vehicles,38,56,62,36,49
2003,Motorcycle riders,21,40,34,26,32
2003,Cars and other motor vehicles,37,59,60,34,49
2004,Motorcycle riders,50,39,33,28,35
2004,Cars and other motor vehicles,53,56,66,42,54
2005,Motorcycle riders,26,11,13,11,13
2005,Cars and other motor vehicles,25,33,33,13,24
2006,Motorcycle riders,8,18,12,9,13
2006,Cars and other motor vehicles,25,36,31,17,26
2007,Motorcycle riders,18,17,7,8,11
2007,Cars and other motor vehicles,18,31,31,13,22
2008,Motorcycle riders,9,9,12,7,9
2008,Cars and other motor vehicles,23,36,35,13,24
2009,Motorcycle riders,7,17,5,12,11
2009,Cars and other motor vehicles,25,39,33,13,25
2010,Motorcycle riders,12,16,16,2,9
2010,Cars and other motor vehicles,15,35,35,12,22
2011,Motorcycle riders,7,18,8,8,10
2011,Cars and other motor vehicles,17,32,25,10,19
2012,Motorcycle riders,6,4,21,3,6
2012,Cars and other motor vehicles,21,40,41,11,24
2013,Motorcycle riders,0,14,17,5,9
2013,Cars and other motor vehicles,19,27,41,12,21
2014,Motorcycle riders,10,13,14,6,10
2014,Cars and other motor vehicles,23,31,30,12,20
2015,Motorcycle riders,14,8,20,5,9
2015,Cars and other motor vehicles,10,28,22,10,17
2016,Motorcycle riders,0,13,6,6,8
2016,Cars and other motor vehicles,15,30,30,13,21
2017,Motorcycle riders,0,6,17,7,9
2017,Cars and other motor vehicles,7,30,37,14,22
2018,Motorcycle riders,10,5,18,4,7
2018,Cars and other motor vehicles,14,27,35,10,19
2019,Motorcycle riders,0,23,14,7,12
2019,Cars and other motor vehicles,7,31,31,14,20
2020,Motorcycle riders,17,11,17,4,9
2020,Cars and other motor vehicles,9,33,36,15,23
2021,Motorcycle riders,6,20,36,4,14
2021,Cars and other motor vehicles,38,35,38,12,25
